#Partida,,,,Ppto. Inicial,Ppto. Definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Obligación,ME,Pago
1 0100.120.01.130.00 2015,,3,RETRIBUCIONES BASICAS,139377.29,139377.29,,114168.34,25208.95,114168.34,114168.34,114168.34,114168.34
1 0100.120.01.132.00 2015,,13,RETRIBUCIONES BASICAS,238372.29,238372.29,,246896.59,-8524.3,246896.59,246896.59,246896.59,246896.59
1 0100.120.01.133.10 2015,,19,RETRIBUCIONES BASICAS,166828.7,166828.7,,167531.32,-702.62,167531.32,167531.32,167531.32,167531.32
1 0100.121.05.130.00 2015,,591,OTRAS REMUNERACIONES,,5358.54,,5358.54,,5358.54,5358.54,5358.54,5358.54
1 0100.121.05.132.00 2015,,592,OTRAS REMUNERACIONES,,11061.4,,11061.4,,11061.4,11061.4,11061.4,11061.4
1 0100.121.05.133.10 2015,,593,OTRAS REMUNERACIONES,,7397.42,,7397.42,,7397.42,7397.42,7397.42,7397.42
1 0100.121.99.130.00 2015,,4,COMPLEMENTOS VARIOS,311643.3,311643.3,,262915.74,48727.56,262915.74,262915.74,262915.74,262915.74
1 0100.121.99.132.00 2015,,14,COMPLEMENTOS VARIOS,535560.91,535560.91,,557106.55,-21545.64,557106.55,557106.55,557106.55,557106.55
1 0100.121.99.133.10 2015,,20,COMPLEMENTOS VARIOS,357135.03,357135.03,,359853.92,-2718.89,359853.92,359853.92,359853.92,359853.92
1 0100.160.01.130.00 2015,,5,SEGURIDAD SOCIAL,142785.43,142785.43,,119406.63,23378.8,119406.63,119406.63,119406.63,119406.63
1 0100.160.01.132.00 2015,,15,SEGURIDAD SOCIAL,242279.0,242279.0,,243741.79,-1462.79,243741.79,243741.79,243741.79,243741.79
1 0100.160.01.133.10 2015,,21,SEGURIDAD SOCIAL,163106.51,163106.51,,154947.24,8159.27,154947.24,154947.24,154947.24,154947.24
1 0100.160.04.130.00 2015,,6,CUOTAS ELKARKIDETZA,10223.64,10223.64,,9736.8,486.84,9736.8,9736.8,9736.8,9736.8
1 0100.160.04.132.00 2015,,16,CUOTAS ELKARKIDETZA,17607.38,17607.38,,17891.23,-283.85,17891.23,17891.23,17891.23,17891.23
1 0100.160.04.133.10 2015,,22,CUOTAS ELKARKIDETZA,11927.58,11927.58,,11968.29,-40.71,11968.29,11968.29,11968.29,11968.29
1 0100.212.01.132.00 2015,,17,MAQUIN/INSTAL/UTILL.MANTTO.ALARMAS,8000.0,8000.0,,7654.78,345.22,7654.78,7654.78,7654.78,7654.78
1 0100.212.01.132.00 2014,,498,"MAQ., INST. Y UTILLAJ. MANTTO. ALARMAS",,681.47,,,681.47,,,,
1 0100.213.01.130.00 2015,,7,MATERIAL DE TRANSPORTE,13000.0,13000.0,,13051.01,-51.01,13051.01,11953.98,11953.98,11953.98
1 0100.221.04.130.00 2015,,8,COMBUSTIBLES Y CARBURANTES,11000.0,11000.0,,7808.73,3191.27,7808.73,7808.73,7808.73,7808.73
1 0100.221.05.130.00 2015,,9,VESTUARIO,30600.0,30600.0,,23395.85,7204.15,23395.85,7775.57,7775.57,7775.57
1 0100.221.99.130.00 2015,,10,OTROS SUMINISTROS,9270.0,9270.0,,9333.54,-63.54,9333.54,8452.5,8452.5,8452.5
1 0100.224.02.130.00 2015,,11,DE VEHICULOS. SEGUROS,2700.0,2700.0,,1490.43,1209.57,1490.43,1490.43,1490.43,1490.43
1 0100.226.99.132.00 2015,,586,OTROS GASTOS DIVERSOS SEGURIDAD,,3000.0,,774.4,2225.6,774.4,774.4,774.4,774.4
1 0100.226.99.133.10 2015,,23,OTROS GASTOS DIVERSOS. EDUCACION VIAL,1800.0,1800.0,,,1800.0,,,,
1 0100.227.08.441.10 2015,,363,CONTRATOS TRANSPORTE,199262.0,199262.0,,190271.43,8990.57,190271.43,190271.43,190271.43,190271.43
