#Partida,,,,Ppto. Inicial,Ppto. Definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Obligación,ME,Pago
1 0100.120.01.130.00 2023,,3.0,RETRIBUCIONES BASICAS,143212.84,143212.84,0.0,235393.23,-92180.39,235393.23,235393.23,235393.23,235393.23
1 0100.120.01.132.00 2023,,13.0,RETRIBUCIONES BASICAS,318469.62,318469.62,0.0,150391.87,168077.75,150391.87,150391.87,150391.87,150391.87
1 0100.120.01.133.10 2023,,19.0,RETRIBUCIONES BASICAS,228039.74,228039.74,0.0,86847.19,141192.55,86847.19,86847.19,86847.19,86847.19
1 0100.121.99.130.00 2023,,4.0,COMPLEMENTOS VARIOS,272620.46,272620.46,0.0,464678.65,-192058.19,464678.65,464678.65,464678.65,464678.65
1 0100.121.99.132.00 2023,,14.0,COMPLEMENTOS VARIOS,679735.52,679735.52,0.0,331665.2,348070.32,331665.2,331665.2,331665.2,331665.2
1 0100.121.99.133.10 2023,,20.0,COMPLEMENTOS VARIOS,441237.78,441237.78,0.0,179826.77,261411.01,179826.77,179826.77,179826.77,179826.76
1 0100.160.01.130.00 2023,,5.0,SEGURIDAD SOCIAL,141371.55,141371.55,0.0,257705.14,-116333.59,257705.14,257705.14,257705.14,257705.14
1 0100.160.01.132.00 2023,,15.0,SEGURIDAD SOCIAL,372901.72,372901.72,0.0,176879.01,196022.71,176879.01,176879.01,176879.01,176879.01
1 0100.160.01.133.10 2023,,21.0,SEGURIDAD SOCIAL,257931.19,257931.19,0.0,100098.26,157832.93,100098.26,100098.26,100098.26,100098.26
1 0100.160.04.130.00 2023,,6.0,CUOTAS ELKARKIDETZA,10816.11,10816.11,0.0,11262.5,-446.39,11262.5,11262.5,11262.5,11262.5
1 0100.160.04.132.00 2023,,16.0,CUOTAS ELKARKIDETZA,11526.15,11526.15,0.0,7118.0,4408.15,7118.0,7118.0,7118.0,7118.0
1 0100.160.04.133.10 2023,,22.0,CUOTAS ELKARKIDETZA,8851.58,8851.58,0.0,5496.0,3355.58,5496.0,5496.0,5496.0,5496.0
1 0100.202.01.133.10 2023,,2069.0,ALQUILER EQUIPOS DE RADAR,72539.5,72539.5,72539.5,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.202.01.133.10 2022,,2449.0,ALQUILER EQUIPOS DE RADAR,0.0,59895.0,0.0,0.0,59895.0,0.0,43560.0,43560.0,43560.0
1 0100.212.01.132.00 2023,,17.0,MAQUIN/INSTAL/UTILL.MANTTO.ALARMAS,12000.0,12000.0,0.0,3817.91,8182.09,3817.91,121.0,121.0,108.9
1 0100.213.01.130.00 2023,,7.0,MATERIAL DE TRANSPORTE,15000.0,15000.0,0.0,9757.93,5242.07,9757.93,5704.56,5704.56,4561.24
1 0100.213.02.132.00 2023,,1542.0,RENTING VEHICULOS,48000.0,48000.0,0.0,30547.44,17452.56,30547.44,20364.96,20364.96,20364.96
1 0100.213.02.132.00 2022,,2450.0,RENTING VEHICULOS,0.0,2545.62,0.0,0.0,2545.62,0.0,2545.62,2545.62,2545.62
1 0100.221.01.130.00 2023,,2067.0,ENERGIA ELECTRICA.CONSUMO DE COCHES,8000.0,8000.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0
1 0100.221.04.130.00 2023,,8.0,COMBUSTIBLES Y CARBURANTES,4000.0,4000.0,0.0,9263.07,-5263.07,9263.07,6575.3,6575.3,6072.64
1 0100.221.05.130.00 2023,,9.0,VESTUARIO,45000.0,45000.0,0.0,37000.0,8000.0,37000.0,0.0,0.0,0.0
1 0100.221.99.130.00 2023,,10.0,OTROS SUMINISTROS,16000.0,16000.0,0.0,9936.59,6063.41,9936.59,5146.85,5146.85,4761.02
1 0100.221.99.130.00 2022,,2451.0,OTROS SUMINISTROS,0.0,500.0,0.0,0.0,500.0,0.0,327.18,327.18,327.18
1 0100.224.02.130.00 2023,,11.0,DE VEHICULOS. SEGUROS,3000.0,3000.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0
1 0100.226.99.132.00 2023,,1814.0,OTROS GASTOS DIVERSOS,1000.0,1000.0,0.0,34.75,965.25,34.75,9.84,9.84,9.84
1 0100.226.99.441.10 2023,,2099.0,OTROS TRABAJOS DIVERSOS,16000.0,16000.0,0.0,0.0,16000.0,0.0,0.0,0.0,0.0
1 0100.227.07.133.10 2023,,2070.0,ESTUDIOS Y TRABAJOS TECNICOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.227.08.441.10 2023,,363.0,CONTRATOS TRANSPORTE,275000.0,275000.0,10853.45,244800.0,19346.55,244800.0,174788.96,174788.96,158070.66
1 0100.227.90.133.10 2023,,2420.0,TRABAJOS EXTERIORES,20000.0,20000.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0
1 0100.227.99.133.10 2023,,24.0,OTROS TRABAJOS EXTERIORES. GRUA,125000.0,125000.0,0.0,100000.0,25000.0,100000.0,75059.84,75059.84,75059.84
1 0100.230.01.130.00 2023,,12.0,DIETAS/LOCOMOC/TRASLADO PERSONAL,100.0,100.0,0.0,4356.3,-4256.3,4356.3,4356.3,4356.3,4356.3
1 0100.230.01.132.00 2023,,18.0,DIETAS/LOCOMOC/TRASLADO PERSONAL,100.0,100.0,0.0,297.95,-197.95,297.95,297.95,297.95,297.95
1 0100.230.01.133.10 2023,,25.0,DIETAS/LOCOMOC/TRASLADO PERSONAL,100.0,100.0,0.0,247.01,-147.01,247.01,247.01,247.01,247.01
1 0100.421.03.441.10 2023,,364.0,CONSORC.AUTORID.TERRITOR.TTE GIPUZKOA,12500.0,12500.0,0.0,10114.53,2385.47,10114.53,10114.53,10114.53,10114.53
1 0100.623.01.130.00 2023,,2034.0,MAQUINARIA RADAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.623.05.133.10 2023,,2071.0,EQUIPOS DE CONTROL DE VIGILANCIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.623.99.132.00 2023,,1816.0,EQUIPOS DE DEFENSA,2500.0,2500.0,0.0,2378.97,121.03,2378.97,2367.18,2367.18,2367.18
1 0100.625.01.130.00 2023,,1282.0,MOBILIARIO,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 0100.625.01.130.00 2022,,2452.0,MOBILIARIO,0.0,788.92,0.0,0.0,788.92,0.0,788.92,788.92,788.92
1 0100.625.01.132.00 2023,,1815.0,MOBILIARIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.625.01.132.00 2022,,2453.0,MOBILIARIO,0.0,938.96,0.0,0.0,938.96,0.0,938.96,938.96,938.96
1 0100.625.05.132.00 2023,,2023.0,EQUIPOS .DESFIBRILADORES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.626.01.130.00 2023,,43.0,OTR.EQUIPOS. SISTEMA COMUNIC.TEATRA,5000.0,5000.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0
1 0100.626.01.130.00 2022,,2454.0,OTR.EQUIPOS. SISTEMA COMUNIC.TEATRA,0.0,2775.74,0.0,0.0,2775.74,0.0,2775.74,2775.74,2775.74
1 0200.120.01.151.00 2023,,32.0,RETRIBUCIONES BASICAS,168949.23,168949.23,0.0,110500.24,58448.99,110500.24,110500.24,110500.24,110500.24
1 0200.120.01.172.00 2023,,782.0,RETRIBUCIONES BASICAS,18373.87,18373.87,0.0,11921.19,6452.68,11921.19,11921.19,11921.19,11921.19
1 0200.121.99.151.00 2023,,33.0,COMPLEMENTOS VARIOS,285196.82,285196.82,0.0,222192.82,63004.0,222192.82,222192.82,222192.82,222192.82
1 0200.121.99.172.00 2023,,783.0,COMPLEMENTOS VARIOS,24220.73,24220.73,0.0,18215.81,6004.92,18215.81,18215.81,18215.81,18215.81
1 0200.131.01.151.00 2023,,2418.0,LABORAL EVENTUAL,0.0,0.0,0.0,5803.72,-5803.72,5803.72,5803.72,5803.72,5803.72
1 0200.131.01.172.00 2023,,2419.0,LABORAL EVENTUAL,0.0,0.0,0.0,18757.24,-18757.24,18757.24,18757.24,18757.24,18757.24
1 0200.160.01.151.00 2023,,35.0,SEGURIDAD SOCIAL,113960.1,113960.1,0.0,77867.91,36092.19,77867.91,77867.91,77867.91,77867.91
1 0200.160.01.172.00 2023,,784.0,SEGURIDAD SOCIAL,14231.45,14231.45,0.0,16441.49,-2210.04,16441.49,16441.49,16441.49,16441.49
1 0200.160.04.151.00 2023,,36.0,CUOTAS ELKARKIDETZA,8965.82,8965.82,0.0,7687.7,1278.12,7687.7,7687.7,7687.7,7687.7
1 0200.160.04.172.00 2023,,983.0,CUOTAS ELKARKIDETZA,1552.32,1552.32,0.0,1098.2,454.12,1098.2,1098.2,1098.2,1098.2
1 0200.201.01.152.20 2023,,1545.0,EDIFICIOS Y OTRAS CONSTRUCCIONES,6000.0,6000.0,0.0,9231.36,-3231.36,9231.36,6154.24,6154.24,5856.86
1 0200.201.01.152.20 2022,,2455.0,EDIFICIOS Y OTRAS CONSTRUCCIONES,0.0,943.8,0.0,0.0,943.8,0.0,943.8,943.8,943.8
1 0200.212.01.151.00 2023,,1817.0,"MAQUINARIA,INSTALACIONES Y UTILLAJE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.220.01.152.20 2023,,1546.0,ORDINARIO NO INVENTARIABLE,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 0200.221.01.152.20 2023,,1547.0,ENERGIA ELECTRICA. LOCAL TXONTA,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 0200.224.01.152.20 2023,,1235.0,SEGUROS,1500.0,1500.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0
1 0200.226.99.151.00 2023,,38.0,OTROS GASTOS DIVERSOS. EJECUC.SUBSID.,70000.0,70000.0,0.0,0.0,70000.0,0.0,0.0,0.0,0.0
