#Partida,b,c,Descripción,Pto definitivo,Dchos rec. netos
2 112.01 2024 (1),,,DE NATURALEZA RUSTICA,6548.22,6635.96
2 112.02 2024 (2),,,DE NATURALEZA URBANA,5275413.89,5433380.39
2 113.01 2024 (3),,,IMPTO. S/VEHICULOS DE TRACCION ,1491826.46,1488338.75
2 114.01 2024 (4),,,IMPTO. S/INCREM.VALOR TERR.NAT. ,300000.0,434502.08
2 130.01 2024 (5),,,ACTIVIDADES EMPRESARIALES,694661.21,766660.97
2 282.01 2024 (6),,,"IMPTO.S/CONSTRUCC., INSTALAC.Y ",300000.0,414739.12
2 310.03 2024 (9),,,CEMENTERIOS MUNICIPALES,27528.81,34789.49
2 310.04 2024 (10),,,EXPEDICION DE DOCUMENTOS,6864.74,4486.15
2 310.05 2024 (11),,,RECOG.Y RETIR.VEHICULOS DE LA VIA ,60000.0,72822.69
2 310.10 2024 (1017),,,TASAS POR ENSEÑANZAS IMPARTIDAS ,1150000.0,1145702.57
2 310.11 2024 (112),,,TASAS POR ENSEÑANZAS IMPARTIDAS,114013.36,146731.31
2 310.12 2024 (392),,,ASIST. Y ESTANCIA EN PISOS Y ,2000.0,0.0
2 310.15 2024 (969),,,D.F.PRESTACION ECONOMICA ,1891.92,0.0
2 310.16 2024 (316),,,TASAS POR ENTRADAS A MUSEO,2912.5,6425.5
2 310.21 2024 (1019),,,ALQUILER FRONTON ASTELENA,8829.14,0.0
2 310.80 2024 (615),,,AYUDA A DOMICILIO,138603.11,198378.9
2 310.82 2024 (616),,,MATRICULAS EUSKALTEGI,23545.53,49586.79
2 310.90 2024 (581),,,ATESTADOS,3550.0,5381.3
2 310.91 2024 (679),,,SUMINISTROS ENERGETICOS,2000.0,1746.01
2 321.02 2024 (15),,,QUIOSCOS EN LA VIA PUBLICA,6833.1,1645.92
2 321.04 2024 (16),,,"MESAS, SILLAS, TRIBUNAS, TABLADOS",81352.58,84282.61
2 321.05 2024 (17),,,"PUESTOS, BARRAC.,R. CINE.Y ",39400.58,39727.07
2 321.06 2024 (773),,,"PORTADAS, ESCAPARATES Y VITRINAS",5799.24,6067.82
2 321.09 2024 (18),,,"OCUP.SUELO, SUBSUELO Y VUELO ",292744.63,534205.0
2 321.91 2024 (772),,,CAJEROS AUTOMATICOS,2223.01,2068.64
2 321.99 2024 (19),,,CENSOS Y CANONES,40991.86,57441.3
2 322.01 2024 (20),,,RESERVA DE APARCAMIENTO,35534.12,35486.21
2 340.01 2024 (21),,,UTILIZACION LOCALES COLISEO Y ,110.74,0.0
2 340.02 2024 (315),,,PRECIOS ENTRADAS A ESPECT.,49455.56,71760.88
2 340.03 2024 (445),,,INGRESOS POR CURSILLOS,5667.0,7883.0
2 340.04 2024 (588),,,ING. CONTRATOS A TAQUILLA. ,703.0,0.0
2 340.05 2024 (589),,,ING. CONTRATOS A TAQUILLA. ,1355.0,0.0
2 340.06 2024 (617),,,INGRESOS POR JORNADAS DE TEATRO,58709.0,66319.5
2 340.07 2024 (934),,,ENTRADAS CINE EN EL TEATRO ,60967.5,76849.51
2 341.01 2024 (87),,,PRODUCCION ENERGIA ELECTRICA,30000.0,37308.95
2 380.01 2024 (22),,,DE PRESUPUESTOS CERRADOS,29029.92,63729.54
2 391.01 2024 (23),,,MULTAS,231084.6,347229.35
2 392.01 2024 (24),,,"RECARGO DE APREMIO, COSTAS",61404.41,80705.22
2 393.01 2024 (25),,,INTERESES DE DEMORA,16138.09,19186.74
2 396.01 2024 (26),,,OPERADORES DE ,100000.0,96134.14
2 396.05 2024 (562),,,EJECUCION SUBSIDIARIA,50000.0,1180.01
2 399.01 2024 (33),,,OTROS INGRESOS DIVERSOS,83708.32,398906.2
2 399.02 2024 (34),,,INGRESOS PORTALEA,593.0,458.22
2 399.04 2024 (73),,,INGRESOS VENTA LIBROS,234.0,3702.1
2 399.08 2024 (264),,,INGRESOS POR DEVOLUCION DE A.E.,13474.51,11132.9
2 399.99 2024 (320),,,DIFERENCIAS POSITIVAS EN CAJA,100.0,0.0
2 400.01 2024 (37),,,PARTICIP. EN IMPUESTOS NO ,44158.37,65667.77
2 400.02 2024 (861),,,PACTO DE ESTADO CONTRA LA ,26966.07,0.0
2 400.03 2024 (1026),,,SUBV.TRANSPORTE PUBLICO ,3715.05,14749.73
2 400.04 2024 (774),,,TRANSF.ESTADO. SUBV. MARIA ,2847.07,0.0
2 400.10 2024 (1062),,,SUBV.CONTR- AGENTES LOCALES ,0.0,37500.0
2 410.02 2024 (811),,,G.V. SUBV. PARA TEATRO DE CALLE,24919.9,30365.0
2 410.04 2024 (252),,,G.V. PERSON./PROGRAM.,35221.99,0.0
2 410.05 2024 (1060),,,G.V.SUBVENCION ESTUDIOS ,0.0,0.0
2 410.06 2024 (43),,,G.V. INSTITUTO MPAL.FORM.PROFES.,422149.8,570011.49
2 410.07 2024 (813),,,INSTITUTO VASCO DE LA MUJER,14000.0,0.0
2 410.09 2024 (523),,,G.V. SUBVENCION O.M.I.C.,23710.11,23159.69
2 410.12 2024 (62),,,G.V. BIBLIOTECA INFANTIL Y JUVENIL,2725.0,3715.0
2 410.13 2024 (127),,,G.V. DOTAC. Y REN.FONDOS ,8933.0,26984.0
2 410.14 2024 (681),,,G.V. SUBVENCION PARA MUSEO,12000.0,17842.6
2 410.16 2024 (130),,,G.V.A SUBV.PLAN GRAL.PROMOC.,8000.0,0.0
2 410.17 2024 (45),,,G.V.  A.E.S.,485019.0,567806.69
2 410.18 2024 (817),,,SUBVENCION NUEVAS TECNOLOGIAS,6499.0,0.0
2 410.20 2024 (939),,,IHOBE KLIMA DETA ENERGIA ,1828.06,4494.39
2 410.22 2024 (159),,,G.V. SUBV.PLAN LOCAL INMIGRACION,42230.0,38668.56
2 410.25 2024 (770),,,LANBIDE. PLAN DE EMPLEO LOCAL,147000.0,102911.46
2 410.27 2024 (676),,,LANBIDE. PLAN DE EMPLEO. ,106450.0,193098.5
2 410.29 2024 (1022),,,G.V. SUBVENCIONES DEPORTES,0.0,0.0
2 410.34 2024 (938),,,G.V.AYUDAS SALAS DE CINES,14061.36,12243.41
2 410.35 2024 (632),,,G.V. SUBVENCION PROGRAMA ,26000.0,0.0
2 410.38 2024 (739),,,G.V. SUBVPARA PROMOCION ACTIV.,7638.82,5858.0
2 410.40 2024 (895),,,G.V. SUBV.ESCUELA DE MUSICA,100000.0,167895.18
2 410.41 2024 (1023),,,G.V. DESARROLLO SOSTENIBLE,16092.0,99458.58
2 411.02 2024 (633),,,H.A.B.E.,268478.13,314739.7
2 412.02 2024 (518),,,EVE- ENTE VASCO DE LA ENERGIA,10000.0,0.0
