#Partida,b,c,Descripción,Pto inicial,Pto definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Oblig. recon.
1 0100.120.01.130.00 2025 (3),,,RETRIBUCIONES BASICAS,187867.3,187867.3,0.0,217128.71,-29261.41,217128.71,217128.71
1 0100.120.01.132.00 2025 (13),,,RETRIBUCIONES BASICAS,486166.18,486166.18,0.0,99116.67,387049.51,99116.67,99116.67
1 0100.120.01.133.10 2025 (19),,,RETRIBUCIONES BASICAS,326173.65,326173.65,0.0,40957.62,285216.03,40957.62,40957.62
1 0100.121.99.130.00 2025 (4),,,COMPLEMENTOS VARIOS,290501.95,290501.95,0.0,455582.03,-165080.08,455582.03,455582.03
1 0100.121.99.132.00 2025 (14),,,COMPLEMENTOS VARIOS,796749.29,796749.29,0.0,210215.14,586534.15,210215.14,210215.14
1 0100.121.99.133.10 2025 (20),,,COMPLEMENTOS VARIOS,488592.58,488592.58,0.0,90554.14,398038.44,90554.14,86135.44
1 0100.160.01.130.00 2025 (5),,,SEGURIDAD SOCIAL,156782.84,156782.84,0.0,205280.91,-48498.07,205280.91,205280.91
1 0100.160.01.132.00 2025 (15),,,SEGURIDAD SOCIAL,490290.07,490290.07,0.0,106030.07,384260.0,106030.07,106030.07
1 0100.160.01.133.10 2025 (21),,,SEGURIDAD SOCIAL,308357.17,308357.17,0.0,45174.07,263183.1,45174.07,45174.07
1 0100.160.04.130.00 2025 (6),,,CUOTAS ELKARKIDETZA,11810.36,11810.36,0.0,10123.0,1687.36,10123.0,10123.0
1 0100.160.04.132.00 2025 (16),,,CUOTAS ELKARKIDETZA,25846.41,25846.41,0.0,4660.47,21185.94,4660.47,4660.47
1 0100.160.04.133.10 2025 (22),,,CUOTAS ELKARKIDETZA,17893.67,17893.67,0.0,3170.53,14723.14,3170.53,3170.53
1 0100.202.01.133.10 2025 (2069),,,ALQUILER EQUIPOS DE RADAR,70000.0,70000.0,0.0,54450.0,15550.0,54450.0,32670.0
1 0100.212.01.132.00 2025 (17),,,MAQUIN/INSTAL/UTILL.MANTTO.,12000.0,12000.0,0.0,5000.0,7000.0,5000.0,0.0
1 0100.213.01.130.00 2025 (7),,,MATERIAL DE TRANSPORTE,12000.0,12000.0,0.0,12150.01,-150.01,12150.01,2528.72
1 0100.213.02.132.00 2025 (1542),,,RENTING VEHICULOS,50000.0,50000.0,0.0,48000.0,2000.0,48000.0,19999.8
1 0100.221.01.130.00 2025 (2067),,,ENERGIA ELECTRICA.CONSUMO DE ,17000.0,17000.0,0.0,9250.0,7750.0,9250.0,2735.48
1 0100.221.04.130.00 2025 (8),,,COMBUSTIBLES Y CARBURANTES,4000.0,4000.0,0.0,4000.0,0.0,4000.0,332.58
1 0100.221.05.130.00 2025 (9),,,VESTUARIO,45000.0,39000.0,33880.0,0.0,5120.0,0.0,0.0
1 0100.221.99.130.00 2025 (10),,,OTROS SUMINISTROS,16000.0,16000.0,0.0,7565.52,8434.48,7565.52,907.86
1 0100.224.02.130.00 2025 (11),,,DE VEHICULOS. SEGUROS,3000.0,3000.0,0.0,0.0,3000.0,0.0,0.0
1 0100.226.99.132.00 2025 (1814),,,OTROS GASTOS DIVERSOS,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0
1 0100.226.99.441.10 2025 (2099),,,OTROS TRABAJOS DIVERSOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.227.07.133.10 2025 (2070),,,ESTUDIOS Y TRABAJOS TECNICOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.227.07.441.10 2025 (2706),,,ESTUDIOS Y TRABAJOS TECNICOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.227.08.441.10 2025 (363),,,CONTRATOS TRANSPORTE,233146.49,252146.49,0.0,251986.33,160.16,251986.33,133335.92
1 0100.227.90.133.10 2025 (2420),,,TRABAJOS EXTERIORES,12000.0,12000.0,0.0,19747.2,-7747.2,19747.2,19747.2
1 0100.227.99.133.10 2025 (24),,,OTROS TRABAJOS EXTERIORES. GRUA,125000.0,112000.0,0.0,100000.0,12000.0,100000.0,38339.9
1 0100.230.01.130.00 2025 (12),,,DIETAS/LOCOMOC/TRASLADO ,1450.0,1450.0,0.0,3306.4,-1856.4,3306.4,3306.4
1 0100.230.01.132.00 2025 (18),,,DIETAS/LOCOMOC/TRASLADO ,750.0,750.0,0.0,817.61,-67.61,817.61,817.61
1 0100.230.01.133.10 2025 (25),,,DIETAS/LOCOMOC/TRASLADO ,750.0,750.0,0.0,234.68,515.32,234.68,234.68
1 0100.421.03.441.10 2025 (364),,,CONSORC.AUTORID.TERRITOR.TTE ,20000.0,20000.0,0.0,7014.04,12985.96,7014.04,3507.02
1 0100.601.87.132.00 2025 (2935),,,INSTALACIONES DE CAMARAS DE ,450000.0,450000.0,0.0,17242.5,432757.5,17242.5,0.0
1 0100.623.99.132.00 2025 (1816),,,EQUIPOS DE DEFENSA,2500.0,2500.0,0.0,0.0,2500.0,0.0,0.0
1 0100.625.01.130.00 2025 (1282),,,MOBILIARIO,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0
1 0100.625.05.132.00 2025 (2936),,,DESFIBRILADORES,2000.0,2000.0,0.0,0.0,2000.0,0.0,0.0
1 0100.626.01.130.00 2025 (43),,,OTR.EQUIPOS. SISTEMA COMUNIC.,5000.0,5000.0,0.0,0.0,5000.0,0.0,0.0
1 0200.120.01.151.00 2025 (32),,,RETRIBUCIONES BASICAS,195327.07,195327.07,0.0,77622.23,117704.84,77622.23,77622.23
1 0200.120.01.172.00 2025 (782),,,RETRIBUCIONES BASICAS,21043.64,21043.64,0.0,8967.05,12076.59,8967.05,8967.05
1 0200.121.99.151.00 2025 (33),,,COMPLEMENTOS VARIOS,269932.37,269932.37,0.0,147288.78,122643.59,147288.78,147288.78
1 0200.121.99.172.00 2025 (783),,,COMPLEMENTOS VARIOS,23651.04,23651.04,0.0,13166.01,10485.03,13166.01,13166.01
1 0200.131.01.151.00 2025 (2418),,,LABORAL EVENTUAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.131.01.172.00 2025 (2419),,,LABORAL EVENTUAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.160.01.151.00 2025 (35),,,SEGURIDAD SOCIAL,116174.08,116174.08,0.0,54662.11,61511.97,54662.11,54662.11
1 0200.160.01.172.00 2025 (784),,,SEGURIDAD SOCIAL,13868.25,13868.25,0.0,6077.08,7791.17,6077.08,6077.08
1 0200.160.04.151.00 2025 (36),,,CUOTAS ELKARKIDETZA,11308.87,11308.87,0.0,5512.81,5796.06,5512.81,5512.81
1 0200.160.04.172.00 2025 (983),,,CUOTAS ELKARKIDETZA,1615.37,1615.37,0.0,814.73,800.64,814.73,814.73
1 0200.201.01.152.20 2025 (1545),,,EDIFICIOS Y OTRAS CONSTRUCCIONES,6000.0,6000.0,0.0,5821.32,178.68,5821.32,2831.4
1 0200.220.01.152.20 2025 (1546),,,ORDINARIO NO INVENTARIABLE,500.0,500.0,0.0,0.0,500.0,0.0,0.0
1 0200.221.01.152.20 2025 (1547),,,ENERGIA ELECTRICA. LOCAL TXONTA,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0
1 0200.224.01.152.20 2025 (1235),,,SEGUROS,1500.0,1500.0,0.0,0.0,1500.0,0.0,0.0
1 0200.226.99.151.00 2025 (38),,,OTROS GASTOS DIVERSOS. EJECUC.,5000.0,5000.0,0.0,0.0,5000.0,0.0,0.0
1 0200.226.99.172.00 2025 (113),,,OTROS GASTOS DIVERSOS,60000.0,60000.0,0.0,20528.8,39471.2,20528.8,11886.4
1 0200.227.05.172.00 2025 (2075),,,TERRENOS/B.NATURALES CONVENIO ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.227.07.151.00 2025 (39),,,ESTUDIOS Y TRABAJOS TECNICOS,375000.0,375000.0,0.0,0.0,375000.0,0.0,0.0
1 0200.227.07.152.30 2025 (2422),,,INVESTIGACIONESM ESTUDOS Y ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.227.07.172.00 2025 (114),,,ESTUD/TRAB.TECNIC.CONTR.CALID.,106600.0,106600.0,0.0,3503.0,103097.0,3503.0,0.0
1 0200.227.90.151.00 2025 (40),,,TRABAJOS EXTERNOS. ESTUDIOS Y ,15000.0,13500.0,0.0,0.0,13500.0,0.0,0.0
1 0200.227.90.172.00 2025 (1247),,,TRABAJOS EXTERIORES,10456.07,10456.07,0.0,11208.63,-752.56,11208.63,429.55
1 0200.227.99.151.00 2025 (41),,,CONTRATOS EXTERNOS. MEDICIONES,1500.0,1500.0,0.0,0.0,1500.0,0.0,0.0
1 0200.227.99.172.00 2025 (115),,,OTROS TRABAJOS EXTERIORES,113728.0,113728.0,0.0,35371.56,78356.44,35371.56,16526.33
1 0200.230.01.151.00 2025 (42),,,DIETAS/LOCOMOC/TRASLADO ,600.0,600.0,0.0,60.48,539.52,60.48,60.48
