#Partida,b,c,Descripción,Pto definitivo,Dchos rec. netos
2 112.01 2025 (1),,,DE NATURALEZA RUSTICA,6901.4,6894.03
2 112.02 2025 (2),,,DE NATURALEZA URBANA,5654654.51,5763314.74
2 113.01 2025 (3),,,IMPTO. S/VEHICULOS DE TRACCION ,1552600.72,1547954.99
2 114.01 2025 (4),,,IMPTO. S/INCREM.VALOR TERR.NAT. ,350000.0,271202.05
2 130.01 2025 (5),,,ACTIVIDADES EMPRESARIALES,789428.21,231503.16
2 282.01 2025 (6),,,"IMPTO.S/CONSTRUCC., INSTALAC.Y ",850000.0,252990.45
2 310.03 2025 (9),,,CEMENTERIOS MUNICIPALES,29151.67,21744.25
2 310.04 2025 (10),,,EXPEDICION DE DOCUMENTOS,4614.38,7696.56
2 310.05 2025 (11),,,RECOG.Y RETIR.VEHICULOS DE LA VIA ,60916.66,39108.54
2 310.10 2025 (1017),,,TASAS POR ENSEÑANZAS IMPARTIDAS ,1191638.83,930391.18
2 310.11 2025 (112),,,TASAS POR ENSEÑANZAS IMPARTIDAS,127000.0,73526.2
2 310.12 2025 (392),,,ASIST. Y ESTANCIA EN PISOS Y ,0.0,0.0
2 310.15 2025 (969),,,D.F.PRESTACION ECONOMICA ,1891.92,0.0
2 310.16 2025 (316),,,TASAS POR ENTRADAS A MUSEO,4000.0,5088.0
2 310.21 2025 (1019),,,ALQUILER FRONTON ASTELENA,7500.0,0.0
2 310.80 2025 (615),,,AYUDA A DOMICILIO,180000.0,99699.6
2 310.82 2025 (616),,,MATRICULAS EUSKALTEGI,30000.0,22667.95
2 310.90 2025 (581),,,ATESTADOS,4000.0,2074.5
2 310.91 2025 (679),,,SUMINISTROS ENERGETICOS,1700.0,0.0
2 321.02 2025 (15),,,QUIOSCOS EN LA VIA PUBLICA,1600.0,855.84
2 321.04 2025 (16),,,"MESAS, SILLAS, TRIBUNAS, TABLADOS",90000.0,82756.12
2 321.05 2025 (17),,,"PUESTOS, BARRAC.,R. CINE.Y ",41316.0,26296.69
2 321.06 2025 (773),,,"PORTADAS, ESCAPARATES Y VITRINAS",6310.0,6203.48
2 321.09 2025 (18),,,"OCUP.SUELO, SUBSUELO Y VUELO ",540000.0,179707.4
2 321.91 2025 (772),,,CAJEROS AUTOMATICOS,2151.0,2177.34
2 321.99 2025 (19),,,CENSOS Y CANONES,42700.0,31803.12
