#Partida,,,,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa
1 0100.120.01.130.00 2017,,3,OINARRIZKO ORDAINKETAK,133172.85,133172.85,,78205.23,54967.62,78205.23,78205.23,78205.23,78205.23
1 0100.120.01.132.00 2017,,13,OINARRIZKO ORDAINKETAK,273276.41,273276.41,,185816.8,87459.61,185816.8,185816.8,185816.8,185816.8
1 0100.120.01.133.10 2017,,19,OINARRIZKO ORDAINKETAK,194015.33,194015.33,,118283.63,75731.7,118283.63,118283.63,118283.63,118283.63
1 0100.121.99.130.00 2017,,4,BESTE OSAGARRI BATZUK,266174.91,266174.91,,192143.39,74031.52,192143.39,192143.39,192143.39,192143.39
1 0100.121.99.132.00 2017,,14,BESTE OSAGARRI BATZUK,533368.18,533368.18,,441921.5,91446.68,441921.5,441921.5,441921.5,441921.5
1 0100.121.99.133.10 2017,,20,BESTE OSAGARRI BATZUK,359257.97,359257.97,,268104.16,91153.81,268104.16,268104.16,268104.16,268104.16
1 0100.160.01.130.00 2017,,5,GIZARTE SEGURANTZA,112226.74,112226.74,,71374.02,40852.72,71374.02,71374.02,71374.02,71374.02
1 0100.160.01.132.00 2017,,15,GIZARTE SEGURANTZA,236087.02,236087.02,,184850.81,51236.21,184850.81,184850.81,184850.81,184850.81
1 0100.160.01.133.10 2017,,21,GIZARTE SEGURANTZA,168376.46,168376.46,,112911.49,55464.97,112911.49,112911.49,112911.49,112911.49
1 0100.160.04.130.00 2017,,6,ELKARKIDETZAREN KUOTAK,11439.11,11439.11,,5719.0,5720.11,5719.0,5719.0,5719.0,5719.0
1 0100.160.04.132.00 2017,,16,ELKARKIDETZAREN KUOTAK,15557.23,15557.23,,13399.1,2158.13,13399.1,13399.1,13399.1,13399.1
1 0100.160.04.133.10 2017,,22,ELKARKIDETZAREN KUOTAK,13690.38,13690.38,,8659.9,5030.48,8659.9,8659.9,8659.9,8659.9
1 0100.212.01.132.00 2017,,17,MAKINERIA/INSTALAZ/TRESNERIA,8000.0,8000.0,,3094.18,4905.82,3094.18,2957.89,2957.89,2957.89
1 0100.213.01.130.00 2017,,7,GARRAIO-MATERIALA,13000.0,13000.0,,14164.97,-1164.97,14164.97,8570.73,7819.1,6980.11
1 0100.213.01.130.00 2016,,846,GARRAIO-MATERIALA,,575.01,,575.01,,575.01,200.0,200.0,200.0
1 0100.221.04.130.00 2017,,8,ERREGAI ETA KARBURANTEAK,10395.0,9982.07,,9786.08,195.99,9786.08,5136.54,5136.54,5136.54
1 0100.221.05.130.00 2017,,9,ARROPAK,26600.0,26600.0,,606.42,25993.58,606.42,606.42,606.42,606.42
1 0100.221.05.130.00 2016,,847,ARROPAK,,2265.12,,2265.12,,2265.12,2265.12,2265.12,2265.12
1 0100.221.99.130.00 2017,,10,BESTELAKO HORNIDURAK,8760.0,8760.0,,6805.71,1954.29,6805.71,3188.81,3188.81,3188.81
1 0100.224.02.130.00 2017,,11,IBILGAILUENAK. ASEGURUAK,2500.0,2500.0,,2298.21,201.79,2298.21,2298.21,2298.21,2298.21
1 0100.226.99.132.00 2017,,586,BESTE HAINBAT GASTU,1500.0,1500.0,,384.94,1115.06,384.94,384.94,384.94,384.94
1 0100.227.08.441.10 2017,,363,GARRAIO-KONTRATUAK,199262.0,199262.0,,194365.26,4896.74,149266.81,143647.39,143647.39,143647.39
1 0100.227.99.133.10 2017,,24,KANPOKO BESTELAKO LANAK. GARABIA,100000.0,100000.0,,100000.0,,100000.0,88379.81,88379.81,88379.81
1 0100.230.01.130.00 2017,,12,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,100.0,100.0,,215.09,-115.09,215.09,215.09,215.09,215.09
1 0100.230.01.132.00 2017,,18,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,100.0,100.0,,351.16,-251.16,351.16,351.16,351.16,351.16
1 0100.230.01.133.10 2017,,25,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,100.0,100.0,,325.28,-225.28,325.28,325.28,325.28,325.28
1 0100.421.03.441.10 2017,,364,GIPUZK.GARRAIOAREN LURRALD.AGINTARITZA,5000.0,5000.0,,3341.25,1658.75,3341.25,3341.25,3341.25,3341.25
1 0100.624.01.130.00 2016,,848,GARRAIO-MATERIALA,,20900.0,,20900.0,,20900.0,20900.0,20900.0,20900.0
1 0100.626.01.130.00 2017,,43,EKIPOAK. TETRA KOMUNIKAZIO BIDEA,6000.0,6412.93,,6412.02,0.91,6412.02,6412.02,6412.02,6412.02
