#Partida,,,,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa
1 0100.120.01.130.00 2022,,3.0,OINARRIZKO ORDAINKETAK,152962.58,152962.58,0.0,103753.98,49208.6,103753.98,103753.98,103753.98,103753.98
1 0100.120.01.132.00 2022,,13.0,OINARRIZKO ORDAINKETAK,318780.17,318780.17,0.0,125572.31,193207.86,125572.31,125572.31,125572.31,125572.31
1 0100.120.01.133.10 2022,,19.0,OINARRIZKO ORDAINKETAK,237501.32,237501.32,0.0,62567.55,174933.77,62567.55,62567.55,62567.55,62567.55
1 0100.121.99.130.00 2022,,4.0,BESTE OSAGARRI BATZUK,297559.4,297559.4,0.0,274830.38,22729.02,274830.38,274830.38,274830.38,274830.38
1 0100.121.99.132.00 2022,,14.0,BESTE OSAGARRI BATZUK,679279.74,679279.74,0.0,323407.69,355872.05,323407.69,323407.69,323407.69,323407.69
1 0100.121.99.133.10 2022,,20.0,BESTE OSAGARRI BATZUK,484107.97,484107.97,0.0,151821.77,332286.2,151821.77,151821.77,151821.77,151821.77
1 0100.160.01.130.00 2022,,5.0,GIZARTE SEGURANTZA,150270.71,150270.71,0.0,129543.06,20727.65,129543.06,129543.06,129543.06,129543.06
1 0100.160.01.132.00 2022,,15.0,GIZARTE SEGURANTZA,355817.13,355817.13,0.0,135545.46,220271.67,135545.46,135545.46,135545.46,135545.46
1 0100.160.01.133.10 2022,,21.0,GIZARTE SEGURANTZA,260622.19,260622.19,0.0,66356.35,194265.84,66356.35,66356.35,66356.35,66356.35
1 0100.160.04.130.00 2022,,6.0,ELKARKIDETZAREN KUOTAK,11512.82,11512.82,0.0,5930.29,5582.53,5930.29,5930.29,5930.29,5930.29
1 0100.160.04.132.00 2022,,16.0,ELKARKIDETZAREN KUOTAK,12613.12,12613.12,0.0,5484.16,7128.96,5484.16,5484.16,5484.16,5484.16
1 0100.160.04.133.10 2022,,22.0,ELKARKIDETZAREN KUOTAK,9035.36,9035.36,0.0,3959.6,5075.76,3959.6,3959.6,3959.6,3959.6
1 0100.202.01.133.10 2022,,2069.0,RADAR-EKIPOAK ALOKATZEA,60000.0,60000.0,0.0,0.0,60000.0,0.0,0.0,0.0,0.0
1 0100.212.01.132.00 2022,,17.0,MAKINERIA/INSTALAZ/TRESNERIA,18000.0,18000.0,0.0,3792.94,14207.06,3792.94,72.6,72.6,72.6
1 0100.213.01.130.00 2022,,7.0,GARRAIO-MATERIALA,15000.0,15000.0,0.0,10675.79,4324.21,10675.79,3356.6,3356.6,2647.24
1 0100.213.02.132.00 2022,,1542.0,IBILGAILUEN RENTING,31000.0,31000.0,0.0,30547.44,452.56,30547.44,12728.1,12728.1,12728.1
1 0100.213.02.132.00 2021,,2102.0,IBILGAILUEN RENTING,0.0,1697.08,0.0,0.0,1697.08,0.0,0.0,0.0,0.0
1 0100.221.01.130.00 2022,,2067.0,ENERGIA ELEKTRIKOA.KOTXEEN KONTSUMOA,6000.0,6000.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0
1 0100.221.04.130.00 2022,,8.0,ERREGAI ETA KARBURANTEAK,30000.0,30000.0,0.0,31624.85,-1624.85,31624.85,2130.28,2130.28,2130.28
1 0100.221.05.130.00 2022,,9.0,ARROPAK,40000.0,40000.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0
1 0100.221.99.130.00 2022,,10.0,BESTELAKO HORNIDURAK,12000.0,12000.0,0.0,6136.83,5863.17,6136.83,3221.36,2344.5,2344.5
1 0100.224.02.130.00 2022,,11.0,IBILGAILUENAK. ASEGURUAK,3000.0,3000.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0
1 0100.226.99.132.00 2022,,1814.0,BESTE HAINBAT GASTU.,1000.0,1000.0,0.0,43.03,956.97,43.03,43.03,43.03,43.03
1 0100.226.99.132.00 2021,,2103.0,BESTE HAINBAT GASTU.,0.0,1592.62,0.0,0.0,1592.62,0.0,1592.62,1592.62,1592.62
1 0100.226.99.441.10 2022,,2099.0,BESTE HAINBAT GASTU,16000.0,16000.0,0.0,0.0,16000.0,0.0,0.0,0.0,0.0
1 0100.227.07.133.10 2022,,2070.0,AZTERKETA ETA LAN TEKNIKOAK,30000.0,30000.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0
1 0100.227.08.441.10 2022,,363.0,GARRAIO-KONTRATUAK,275000.0,275000.0,0.0,209347.38,65652.62,209347.38,108323.05,108323.05,108323.05
1 0100.227.90.132.00 2022,,2068.0,KANPOKO LANAK,80000.0,80000.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0
1 0100.227.99.133.10 2022,,24.0,KANPOKO BESTELAKO LANAK. GARABIA,125000.0,125000.0,0.0,100000.0,25000.0,100000.0,42119.9,42119.9,42119.9
1 0100.230.01.130.00 2022,,12.0,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,100.0,100.0,0.0,2308.26,-2208.26,2308.26,2308.26,2308.26,2308.26
1 0100.230.01.132.00 2022,,18.0,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,100.0,100.0,0.0,1739.53,-1639.53,1739.53,1739.53,1739.53,1739.53
1 0100.230.01.133.10 2022,,25.0,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,100.0,100.0,0.0,407.41,-307.41,407.41,407.41,407.41,407.41
1 0100.421.03.441.10 2022,,364.0,GIPUZK.GARRAIOAREN LURRALD.AGINTARITZA,10000.0,10000.0,0.0,4542.0,5458.0,4542.0,4542.0,4542.0,4542.0
1 0100.623.01.130.00 2022,,2034.0,"MAKINARIA, RADARRA INSTALATZEA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.623.01.130.00 2021,,2104.0,"MAKINARIA, RADARRA INSTALATZEA",0.0,17787.0,0.0,0.0,17787.0,0.0,17787.0,17787.0,17787.0
1 0100.623.05.133.10 2022,,2071.0,ABIDURA ZAINTZEKO KONTROL EKIPOAK,10000.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0
1 0100.623.99.132.00 2022,,1816.0,DEFENTSA EKIPOAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.625.01.130.00 2022,,1282.0,ALTZARIAK,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 0100.625.01.130.00 2021,,2105.0,ALTZARIAK,0.0,792.07,0.0,0.0,792.07,0.0,792.07,792.07,792.07
1 0100.625.01.132.00 2022,,1815.0,ALTZARIAK,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 0100.625.05.132.00 2022,,2023.0,EKIPOAK .DESFIBRILADOREAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.626.01.130.00 2022,,43.0,EKIPOAK. TETRA KOMUNIKAZIO BIDEA,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 0200.120.01.151.00 2022,,32.0,OINARRIZKO ORDAINKETAK,164516.64,164516.64,0.0,62449.84,102066.8,62449.84,62449.84,62449.84,62449.84
1 0200.120.01.172.00 2022,,782.0,OINARRIZKO ORDAINKETAK,17069.16,17069.16,0.0,7730.65,9338.51,7730.65,7730.65,7730.65,7730.65
1 0200.121.99.151.00 2022,,33.0,BESTE OSAGARRI BATZUK,360794.07,360794.07,0.0,134668.22,226125.85,134668.22,134668.22,134668.22,134668.22
