#Partida,,,Has.ko aurrek.,B. betiko aurrek.,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa
1 0100.120.01.130.00 2024,,OINARRIZKO ORDAINKETAK,177185.19,177185.19,73424.87,103760.32,73424.87,73424.87,73424.87,73424.87
1 0100.120.01.132.00 2024,,OINARRIZKO ORDAINKETAK,422442.58,422442.58,47504.63,374937.95,47504.63,47504.63,47504.63,47504.63
1 0100.120.01.133.10 2024,,OINARRIZKO ORDAINKETAK,302886.94,302886.94,23409.62,279477.32,23409.62,23409.62,23409.62,23409.62
1 0100.121.99.130.00 2024,,BESTE OSAGARRI BATZUK,302740.38,302740.38,195467.1,107273.28,195467.1,195467.1,195467.1,195467.1
1 0100.121.99.132.00 2024,,BESTE OSAGARRI BATZUK,719166.65,719166.65,110562.55,608604.1,110562.55,110562.55,110562.55,110562.55
1 0100.121.99.133.10 2024,,BESTE OSAGARRI BATZUK,472286.75,472286.75,51590.74,420696.01,51590.74,51590.74,51590.74,51590.74
1 0100.160.01.130.00 2024,,GIZARTE SEGURANTZA,153690.37,153690.37,109128.87,44561.5,109128.87,109128.87,109128.87,109128.87
1 0100.160.01.132.00 2024,,GIZARTE SEGURANTZA,409614.12,409614.12,40063.02,369551.1,40063.02,40063.02,40063.02,40063.02
1 0100.160.01.133.10 2024,,GIZARTE SEGURANTZA,275866.12,275866.12,21745.56,254120.56,21745.56,21745.56,21745.56,21745.56
1 0100.160.04.130.00 2024,,ELKARKIDETZAREN KUOTAK,9138.84,9138.84,4130.73,5008.11,4130.73,4130.73,4130.73,4130.73
1 0100.160.04.132.00 2024,,ELKARKIDETZAREN KUOTAK,13190.24,13190.24,2060.55,11129.69,2060.55,2060.55,2060.55,2060.55
1 0100.160.04.133.10 2024,,ELKARKIDETZAREN KUOTAK,10394.19,10394.19,1559.04,8835.15,1559.04,1559.04,1559.04,1559.04
1 0100.202.01.133.10 2024,,RADAR-EKIPOAK ALOKATZEA,70000.0,70000.0,0.0,70000.0,0.0,0.0,0.0,0.0
1 0100.202.01.133.10 2023,,RADAR-EKIPOAK ALOKATZEA,0.0,0.0,61649.5,-61649.5,61649.5,0.0,10890.0,5445.0
1 0100.212.01.132.00 2024,,MAKINERIA/INSTALAZ/TRESNERIA,12000.0,12000.0,5000.0,7000.0,5000.0,0.0,0.0,0.0
1 0100.213.01.130.00 2024,,GARRAIO-MATERIALA,15000.0,15000.0,10600.42,4399.58,10600.42,580.15,580.15,274.02
1 0100.213.02.132.00 2024,,IBILGAILUEN RENTING,50000.0,50000.0,30547.44,19452.56,30547.44,5091.24,5091.24,5091.24
1 0100.213.02.132.00 2023,,IBILGAILUEN RENTING,0.0,0.0,2545.62,-2545.62,2545.62,0.0,2545.62,2545.62
1 0100.221.01.130.00 2024,,ENERGIA ELEKTRIKOA.KOTXEEN KONTSUMOA,10000.0,10000.0,7200.01,2799.99,7200.01,473.26,1026.71,473.26
1 0100.221.04.130.00 2024,,ERREGAI ETA KARBURANTEAK,4000.0,4000.0,2916.69,1083.31,2916.69,353.08,353.08,353.08
1 0100.221.04.130.00 2023,,ERREGAI ETA KARBURANTEAK,0.0,0.0,1126.53,-1126.53,1126.53,0.0,247.67,247.67
1 0100.221.05.130.00 2024,,ARROPAK,45000.0,45000.0,0.0,45000.0,0.0,0.0,0.0,0.0
1 0100.221.99.130.00 2024,,BESTELAKO HORNIDURAK,16000.0,16000.0,7236.34,8763.66,7236.34,1388.25,1388.25,381.23
1 0100.224.02.130.00 2024,,IBILGAILUENAK. ASEGURUAK,3000.0,3000.0,0.0,3000.0,0.0,0.0,0.0,0.0
1 0100.226.99.132.00 2024,,BESTE HAINBAT GASTU.,1000.0,1000.0,31.12,968.88,31.12,31.12,31.12,31.12
1 0100.226.99.441.10 2024,,BESTE HAINBAT GASTU,16000.0,16000.0,0.0,16000.0,0.0,0.0,0.0,0.0
1 0100.227.07.133.10 2024,,AZTERKETA ETA LAN TEKNIKOAK,20000.0,20000.0,0.0,20000.0,0.0,0.0,0.0,0.0
1 0100.227.07.441.10 2024,,AZTERKETA ETA LAN TEKNIKOAK,19750.0,19750.0,0.0,19750.0,0.0,0.0,0.0,0.0
1 0100.227.08.441.10 2024,,GARRAIO-KONTRATUAK,275000.0,275000.0,230872.24,44127.76,230872.24,54822.63,54822.63,52294.7
1 0100.227.90.133.10 2024,,KANPOKO LANAK,12000.0,12000.0,0.0,12000.0,0.0,0.0,0.0,0.0
1 0100.227.90.133.10 2023,,KANPOKO LANAK,0.0,0.0,14713.6,-14713.6,14713.6,0.0,0.0,0.0
1 0100.227.99.133.10 2024,,KANPOKO BESTELAKO LANAK. GARABIA,125000.0,125000.0,100000.0,25000.0,100000.0,18899.96,18899.96,10079.98
1 0100.227.99.133.10 2023,,KANPOKO BESTELAKO LANAK. GARABIA,0.0,0.0,4940.99,-4940.99,4940.99,0.0,4940.99,4940.99
1 0100.230.01.130.00 2024,,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,100.0,100.0,2891.04,-2791.04,2891.04,2891.04,2891.04,2891.04
1 0100.230.01.132.00 2024,,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,100.0,100.0,124.38,-24.38,124.38,124.38,124.38,124.38
1 0100.230.01.133.10 2024,,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,100.0,100.0,124.37,-24.37,124.37,124.37,124.37,124.37
1 0100.421.03.441.10 2024,,GIPUZK.GARRAIOAREN LURRALD.AGINTARITZA,20000.0,20000.0,1555.79,18444.21,1555.79,1555.79,1555.79,1555.79
1 0100.623.01.130.00 2024,,"MAKINARIA, RADARRA INSTALATZEA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.623.05.133.10 2024,,ABIDURA ZAINTZEKO KONTROL EKIPOAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.623.99.132.00 2024,,DEFENTSA EKIPOAK,2500.0,2500.0,0.0,2500.0,0.0,0.0,0.0,0.0
1 0100.625.01.130.00 2024,,ALTZARIAK,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 0100.625.01.132.00 2024,,ALTZARIAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.625.05.132.00 2024,,EKIPOAK .DESFIBRILADOREAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.626.01.130.00 2024,,EKIPOAK. TETRA KOMUNIKAZIO BIDEA,5000.0,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0
1 0100.626.01.130.00 2023,,EKIPOAK. TETRA KOMUNIKAZIO BIDEA,0.0,0.0,4991.25,-4991.25,4991.25,0.0,4991.25,4991.25
1 0200.120.01.151.00 2024,,OINARRIZKO ORDAINKETAK,197667.34,197667.34,29009.75,168657.59,29009.75,29009.75,29009.75,29009.75
1 0200.120.01.172.00 2024,,OINARRIZKO ORDAINKETAK,39643.08,39643.08,4302.08,35341.0,4302.08,4302.08,4302.08,4302.08
1 0200.121.99.151.00 2024,,BESTE OSAGARRI BATZUK,288476.92,288476.92,61875.12,226601.8,61875.12,61875.12,61875.12,61875.12
1 0200.121.99.172.00 2024,,BESTE OSAGARRI BATZUK,46519.7,46519.7,6631.27,39888.43,6631.27,6631.27,6631.27,6631.27
1 0200.131.01.151.00 2024,,LABORAL EBENTUALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.131.01.172.00 2024,,LABORAL EBENTUALA,0.0,0.0,2995.81,-2995.81,2995.81,2995.81,2995.81,2995.81
1 0200.160.01.151.00 2024,,GIZARTE SEGURANTZA,118214.65,118214.65,26405.57,91809.08,26405.57,26405.57,26405.57,26405.57
1 0200.160.01.172.00 2024,,GIZARTE SEGURANTZA,29764.94,29764.94,5190.32,24574.62,5190.32,5190.32,5190.32,5190.32
1 0200.160.04.151.00 2024,,ELKARKIDETZAREN KUOTAK,11139.48,11139.48,2098.54,9040.94,2098.54,2098.54,2098.54,2098.54
1 0200.160.04.172.00 2024,,ELKARKIDETZAREN KUOTAK,1591.29,1591.29,339.33,1251.96,339.33,339.33,339.33,339.33
1 0200.201.01.152.20 2024,,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,6000.0,6000.0,7370.68,-1370.68,7370.68,943.8,943.8,943.8
1 0200.212.01.151.00 2024,,"MAKINERIA,INSTALAZIOAK ETA TRESNERIA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.220.01.152.20 2024,,MATERIAL ARRUNT EZ-INBENTARIAGARRIA,500.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0
