#Partida,b,c,Descripción,Hasierako aurr.,Behin bet aurr.,Atxekipenak (RC),Baimendua ,Erabilgarria,Erabilia ,Onart. Oblig.
1 0100.120.01.130.00 2024 (3),,,OINARRIZKO ORDAINKETAK,177185.19,177185.19,0.0,394991.52,-217806.33,394991.52,394991.52
1 0100.120.01.132.00 2024 (13),,,OINARRIZKO ORDAINKETAK,422442.58,422442.58,0.0,220514.44,201928.14,220514.44,220514.44
1 0100.120.01.133.10 2024 (19),,,OINARRIZKO ORDAINKETAK,302886.94,302886.94,0.0,116454.9,186432.04,116454.9,116454.9
1 0100.121.99.130.00 2024 (4),,,BESTE OSAGARRI BATZUK,302740.38,302740.38,0.0,810760.09,-508019.71,810760.09,810760.09
1 0100.121.99.132.00 2024 (14),,,BESTE OSAGARRI BATZUK,719166.65,719166.65,0.0,462122.31,257044.34,462122.31,462122.31
1 0100.121.99.133.10 2024 (20),,,BESTE OSAGARRI BATZUK,472286.75,472286.75,0.0,228824.63,243462.12,228824.63,228824.63
1 0100.160.01.130.00 2024 (5),,,GIZARTE SEGURANTZA,153690.37,153690.37,0.0,421225.35,-267534.98,421225.35,421225.35
1 0100.160.01.132.00 2024 (15),,,GIZARTE SEGURANTZA,409614.12,409614.12,0.0,197606.35,212007.77,197606.35,197606.35
1 0100.160.01.133.10 2024 (21),,,GIZARTE SEGURANTZA,275866.12,275866.12,0.0,108085.57,167780.55,108085.57,108085.57
1 0100.160.04.130.00 2024 (6),,,ELKARKIDETZAREN KUOTAK,9138.84,9138.84,0.0,18301.55,-9162.71,18301.55,18301.55
1 0100.160.04.132.00 2024 (16),,,ELKARKIDETZAREN KUOTAK,13190.24,13190.24,0.0,10265.57,2924.67,10265.57,10265.57
1 0100.160.04.133.10 2024 (22),,,ELKARKIDETZAREN KUOTAK,10394.19,10394.19,0.0,7275.52,3118.67,7275.52,7275.52
1 0100.202.01.133.10 2024 (2069),,,RADAR-EKIPOAK ALOKATZEA,70000.0,70000.0,0.0,10890.0,59110.0,10890.0,10890.0
1 0100.212.01.132.00 2024 (17),,,MAKINERIA/INSTALAZ/TRESNERIA,12000.0,12000.0,0.0,5063.88,6936.12,5063.88,3551.88
1 0100.213.01.130.00 2024 (7),,,GARRAIO-MATERIALA,15000.0,15000.0,0.0,6041.14,8958.86,6041.14,6041.14
1 0100.213.02.132.00 2024 (1542),,,IBILGAILUEN RENTING,50000.0,50000.0,0.0,30547.44,19452.56,30547.44,30547.44
1 0100.221.01.130.00 2024 (2067),,,ENERGIA ELEKTRIKOA.KOTXEEN ,10000.0,10000.0,0.0,4845.2,5154.8,4845.2,4423.85
1 0100.221.04.130.00 2024 (8),,,ERREGAI ETA KARBURANTEAK,4000.0,4000.0,0.0,3441.11,558.89,3441.11,2709.06
1 0100.221.05.130.00 2024 (9),,,ARROPAK,45000.0,45000.0,0.0,37102.29,7897.71,37102.29,37102.29
1 0100.221.99.130.00 2024 (10),,,BESTELAKO HORNIDURAK,16000.0,16000.0,0.0,6037.7,9962.3,6037.7,6037.7
1 0100.224.02.130.00 2024 (11),,,IBILGAILUENAK. ASEGURUAK,3000.0,3000.0,0.0,0.0,3000.0,0.0,0.0
1 0100.226.99.132.00 2024 (1814),,,BESTE HAINBAT GASTU.,1000.0,1000.0,0.0,31.12,968.88,31.12,31.12
1 0100.226.99.441.10 2024 (2099),,,BESTE HAINBAT GASTU,16000.0,16000.0,0.0,0.0,16000.0,0.0,0.0
1 0100.227.07.133.10 2024 (2070),,,AZTERKETA ETA LAN TEKNIKOAK,20000.0,20000.0,0.0,0.0,20000.0,0.0,0.0
1 0100.227.07.441.10 2024 (2706),,,AZTERKETA ETA LAN TEKNIKOAK,19750.0,19750.0,0.0,0.0,19750.0,0.0,0.0
1 0100.227.08.441.10 2024 (363),,,GARRAIO-KONTRATUAK,275000.0,275000.0,0.0,242922.44,32077.56,242922.44,242922.44
1 0100.227.90.133.10 2024 (2420),,,KANPOKO LANAK,12000.0,12000.0,0.0,0.0,12000.0,0.0,0.0
1 0100.227.99.133.10 2024 (24),,,KANPOKO BESTELAKO LANAK. ,125000.0,125000.0,0.0,95480.78,29519.22,95480.78,95480.78
1 0100.230.01.130.00 2024 (12),,,PERTSONAL.,100.0,100.0,0.0,5857.74,-5757.74,5857.74,5857.74
1 0100.230.01.132.00 2024 (18),,,PERTSONAL.,100.0,100.0,0.0,930.29,-830.29,930.29,930.29
1 0100.230.01.133.10 2024 (25),,,PERTSONAL.,100.0,100.0,0.0,904.32,-804.32,904.32,904.32
1 0100.421.03.441.10 2024 (364),,,GIPUZK.GARRAIOAREN LURRALD.,20000.0,20000.0,0.0,6223.16,13776.84,6223.16,6223.16
1 0100.623.99.132.00 2024 (1816),,,DEFENTSA EKIPOAK,2500.0,2500.0,0.0,0.0,2500.0,0.0,0.0
1 0100.625.01.130.00 2024 (1282),,,ALTZARIAK,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0
1 0100.626.01.130.00 2024 (43),,,EKIPOAK. TETRA KOMUNIKAZIO BIDEA,5000.0,5000.0,0.0,4936.8,63.2,4936.8,4936.8
1 0200.120.01.151.00 2024 (32),,,OINARRIZKO ORDAINKETAK,197667.34,197667.34,0.0,153751.09,43916.25,153751.09,153751.09
1 0200.120.01.172.00 2024 (782),,,OINARRIZKO ORDAINKETAK,39643.08,39643.08,0.0,23772.18,15870.9,23772.18,23772.18
1 0200.121.99.151.00 2024 (33),,,BESTE OSAGARRI BATZUK,288476.92,288476.92,0.0,294684.27,-6207.35,294684.27,292767.63
1 0200.121.99.172.00 2024 (783),,,BESTE OSAGARRI BATZUK,46519.7,46519.7,0.0,34194.15,12325.55,34194.15,34194.15
1 0200.131.01.151.00 2024 (2418),,,LABORAL EBENTUALA,0.0,0.0,0.0,24.93,-24.93,24.93,24.93
1 0200.131.01.172.00 2024 (2419),,,LABORAL EBENTUALA,0.0,0.0,0.0,3193.05,-3193.05,3193.05,3193.05
1 0200.160.01.151.00 2024 (35),,,GIZARTE SEGURANTZA,118214.65,118214.65,0.0,109980.96,8233.69,109980.96,109980.96
1 0200.160.01.172.00 2024 (784),,,GIZARTE SEGURANTZA,29764.94,29764.94,0.0,19743.4,10021.54,19743.4,19743.4
1 0200.160.04.151.00 2024 (36),,,ELKARKIDETZAREN KUOTAK,11139.48,11139.48,0.0,9977.88,1161.6,9977.88,9977.88
1 0200.160.04.172.00 2024 (983),,,ELKARKIDETZAREN KUOTAK,1591.29,1591.29,0.0,1583.54,7.75,1583.54,1583.54
1 0200.201.01.152.20 2024 (1545),,,ERAIKINAK ETA BESTELAKO ,6000.0,8174.64,0.0,9258.84,-1084.2,9258.84,8959.17
1 0200.220.01.152.20 2024 (1546),,,MATERIAL ARRUNT EZ-,500.0,500.0,0.0,0.0,500.0,0.0,0.0
1 0200.221.01.152.20 2024 (1547),,,ENERGIA ELEKTRIKOA. TXONTA ,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0
