#Partida,b,c,Descripción,Behin bet aurr,Onar esk garbiak
2 112.01 2024 (1),,,LANDA ONDASUNAK,6548.22,6635.96
2 112.02 2024 (2),,,HIRI-ONDASUNAK,5275413.89,5433380.39
2 113.01 2024 (3),,,TRAKZIO MEKANIK.IBILGAILUEN GAIN.,1491826.46,1488338.75
2 114.01 2024 (4),,,HIRI-LURREN BALIO GEHIKUNTZ. GAIN.,300000.0,434502.08
2 130.01 2024 (5),,,ENPRESA JARDUERA,694661.21,766660.97
2 282.01 2024 (6),,,"ERAIKUNT., INSTAL.ETA OBREN GAIN.",300000.0,414739.12
2 310.03 2024 (9),,,UDAL HILERRIAK,27528.81,34789.49
2 310.04 2024 (10),,,AGIRIAK EGITEA,6864.74,4486.15
2 310.05 2024 (11),,,IBILGAIL.BIDE PUBLIK.JASO ETA ,60000.0,72822.69
2 310.10 2024 (1017),,,KIROLETAKO IRAKASKUNTZEN TASAK,1150000.0,1145702.57
2 310.11 2024 (112),,,IRAKASK.BEREZ.UDALERRIEN ,114013.36,146731.31
2 310.12 2024 (392),,,LAGUNT.ETA EGONALD.ETXEBIZITZA ,2000.0,0.0
2 310.15 2024 (969),,,F.A.MENDEKOTASUN PRESTAZIO ,1891.92,0.0
2 310.16 2024 (316),,,MUSEOAREN SARRERA TASAK,2912.5,6425.5
2 310.21 2024 (1019),,,ASTELENAFRONTOIAREN ALOKAIRUA,8829.14,0.0
2 310.80 2024 (615),,,ETXEZ-ETXEKO LAGUNTZA,138603.11,198378.9
2 310.82 2024 (616),,,EUSKALTEGIKO MATRIKULAK,23545.53,49586.79
2 310.90 2024 (581),,,ATESTATUAK,3550.0,5381.3
2 310.91 2024 (679),,,ENERGIA-HORNIDURA,2000.0,1746.01
2 321.02 2024 (15),,,BIDE PUBLIKOKO KIOSKOAK,6833.1,1645.92
2 321.04 2024 (16),,,"MAHAIAK, AULKIAK, TRIBUNAK, ",81352.58,84282.61
2 321.05 2024 (17),,,"POSTUAK, BARRAKAK,ETA ",39400.58,39727.07
2 321.06 2024 (773),,,"PORTADAK, ERAKUSLEIHOAK ETA ",5799.24,6067.82
