#Partida,b,c,Descripción,Hasierako aurr.,Behin bet aurr.,Atxekipenak (RC),Erabilgarria,Baimendua ,Erabilia ,Onart. Oblig.
1 0100.120.01.130.00 2025 (3),,,OINARRIZKO ORDAINKETAK,187867.3,187867.3,0.0,-29261.41,217128.71,217128.71,217128.71
1 0100.120.01.132.00 2025 (13),,,OINARRIZKO ORDAINKETAK,486166.18,486166.18,0.0,387049.51,99116.67,99116.67,99116.67
1 0100.120.01.133.10 2025 (19),,,OINARRIZKO ORDAINKETAK,326173.65,326173.65,0.0,285216.03,40957.62,40957.62,40957.62
1 0100.121.99.130.00 2025 (4),,,BESTE OSAGARRI BATZUK,290501.95,290501.95,0.0,-165080.08,455582.03,455582.03,455582.03
1 0100.121.99.132.00 2025 (14),,,BESTE OSAGARRI BATZUK,796749.29,796749.29,0.0,586534.15,210215.14,210215.14,210215.14
1 0100.121.99.133.10 2025 (20),,,BESTE OSAGARRI BATZUK,488592.58,488592.58,0.0,398038.44,90554.14,90554.14,86135.44
1 0100.160.01.130.00 2025 (5),,,GIZARTE SEGURANTZA,156782.84,156782.84,0.0,-48498.07,205280.91,205280.91,205280.91
1 0100.160.01.132.00 2025 (15),,,GIZARTE SEGURANTZA,490290.07,490290.07,0.0,384260.0,106030.07,106030.07,106030.07
1 0100.160.01.133.10 2025 (21),,,GIZARTE SEGURANTZA,308357.17,308357.17,0.0,263183.1,45174.07,45174.07,45174.07
1 0100.160.04.130.00 2025 (6),,,ELKARKIDETZAREN KUOTAK,11810.36,11810.36,0.0,1687.36,10123.0,10123.0,10123.0
1 0100.160.04.132.00 2025 (16),,,ELKARKIDETZAREN KUOTAK,25846.41,25846.41,0.0,21185.94,4660.47,4660.47,4660.47
1 0100.160.04.133.10 2025 (22),,,ELKARKIDETZAREN KUOTAK,17893.67,17893.67,0.0,14723.14,3170.53,3170.53,3170.53
1 0100.202.01.133.10 2025 (2069),,,RADAR-EKIPOAK ALOKATZEA,70000.0,70000.0,0.0,15550.0,54450.0,54450.0,32670.0
1 0100.212.01.132.00 2025 (17),,,MAKINERIA/INSTALAZ/TRESNERIA,12000.0,12000.0,0.0,7000.0,5000.0,5000.0,0.0
1 0100.213.01.130.00 2025 (7),,,GARRAIO-MATERIALA,12000.0,12000.0,0.0,-150.01,12150.01,12150.01,2528.72
1 0100.213.02.132.00 2025 (1542),,,IBILGAILUEN RENTING,50000.0,50000.0,0.0,2000.0,48000.0,48000.0,19999.8
1 0100.221.01.130.00 2025 (2067),,,ENERGIA ELEKTRIKOA.KOTXEEN ,17000.0,17000.0,0.0,7750.0,9250.0,9250.0,2735.48
1 0100.221.04.130.00 2025 (8),,,ERREGAI ETA KARBURANTEAK,4000.0,4000.0,0.0,0.0,4000.0,4000.0,332.58
1 0100.221.05.130.00 2025 (9),,,ARROPAK,45000.0,39000.0,33880.0,5120.0,0.0,0.0,0.0
1 0100.221.99.130.00 2025 (10),,,BESTELAKO HORNIDURAK,16000.0,16000.0,0.0,8434.48,7565.52,7565.52,907.86
1 0100.224.02.130.00 2025 (11),,,IBILGAILUENAK. ASEGURUAK,3000.0,3000.0,0.0,3000.0,0.0,0.0,0.0
1 0100.226.99.132.00 2025 (1814),,,BESTE HAINBAT GASTU.,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0
1 0100.226.99.441.10 2025 (2099),,,BESTE HAINBAT GASTU,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.227.07.133.10 2025 (2070),,,AZTERKETA ETA LAN TEKNIKOAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.227.07.441.10 2025 (2706),,,AZTERKETA ETA LAN TEKNIKOAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.227.08.441.10 2025 (363),,,GARRAIO-KONTRATUAK,233146.49,252146.49,0.0,160.16,251986.33,251986.33,133335.92
1 0100.227.90.133.10 2025 (2420),,,KANPOKO LANAK,12000.0,12000.0,0.0,-7747.2,19747.2,19747.2,19747.2
1 0100.227.99.133.10 2025 (24),,,KANPOKO BESTELAKO LANAK. ,125000.0,112000.0,0.0,12000.0,100000.0,100000.0,38339.9
1 0100.230.01.130.00 2025 (12),,,PERTSONAL.,1450.0,1450.0,0.0,-1856.4,3306.4,3306.4,3306.4
1 0100.230.01.132.00 2025 (18),,,PERTSONAL.,750.0,750.0,0.0,-67.61,817.61,817.61,817.61
1 0100.230.01.133.10 2025 (25),,,PERTSONAL.,750.0,750.0,0.0,515.32,234.68,234.68,234.68
1 0100.421.03.441.10 2025 (364),,,GIPUZK.GARRAIOAREN LURRALD.,20000.0,20000.0,0.0,12985.96,7014.04,7014.04,3507.02
1 0100.601.87.132.00 2025 (2935),,,TRAFIKO GANBERAK JARTZEA,450000.0,450000.0,0.0,432757.5,17242.5,17242.5,0.0
1 0100.623.99.132.00 2025 (1816),,,DEFENTSA EKIPOAK,2500.0,2500.0,0.0,2500.0,0.0,0.0,0.0
1 0100.625.01.130.00 2025 (1282),,,ALTZARIAK,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0
1 0100.625.05.132.00 2025 (2936),,,DESFIBRILADOREAK,2000.0,2000.0,0.0,2000.0,0.0,0.0,0.0
1 0100.626.01.130.00 2025 (43),,,EKIPOAK. TETRA KOMUNIKAZIO BIDEA,5000.0,5000.0,0.0,5000.0,0.0,0.0,0.0
1 0200.120.01.151.00 2025 (32),,,OINARRIZKO ORDAINKETAK,195327.07,195327.07,0.0,117704.84,77622.23,77622.23,77622.23
1 0200.120.01.172.00 2025 (782),,,OINARRIZKO ORDAINKETAK,21043.64,21043.64,0.0,12076.59,8967.05,8967.05,8967.05
1 0200.121.99.151.00 2025 (33),,,BESTE OSAGARRI BATZUK,269932.37,269932.37,0.0,122643.59,147288.78,147288.78,147288.78
1 0200.121.99.172.00 2025 (783),,,BESTE OSAGARRI BATZUK,23651.04,23651.04,0.0,10485.03,13166.01,13166.01,13166.01
1 0200.131.01.151.00 2025 (2418),,,LABORAL EBENTUALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.131.01.172.00 2025 (2419),,,LABORAL EBENTUALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.160.01.151.00 2025 (35),,,GIZARTE SEGURANTZA,116174.08,116174.08,0.0,61511.97,54662.11,54662.11,54662.11
1 0200.160.01.172.00 2025 (784),,,GIZARTE SEGURANTZA,13868.25,13868.25,0.0,7791.17,6077.08,6077.08,6077.08
1 0200.160.04.151.00 2025 (36),,,ELKARKIDETZAREN KUOTAK,11308.87,11308.87,0.0,5796.06,5512.81,5512.81,5512.81
1 0200.160.04.172.00 2025 (983),,,ELKARKIDETZAREN KUOTAK,1615.37,1615.37,0.0,800.64,814.73,814.73,814.73
1 0200.201.01.152.20 2025 (1545),,,ERAIKINAK ETA BESTELAKO ,6000.0,6000.0,0.0,178.68,5821.32,5821.32,2831.4
1 0200.220.01.152.20 2025 (1546),,,MATERIAL ARRUNT EZ-,500.0,500.0,0.0,500.0,0.0,0.0,0.0
1 0200.221.01.152.20 2025 (1547),,,ENERGIA ELEKTRIKOA. TXONTA ,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0
1 0200.224.01.152.20 2025 (1235),,,ASEGURUAK,1500.0,1500.0,0.0,1500.0,0.0,0.0,0.0
1 0200.226.99.151.00 2025 (38),,,BESTE HAINB.GASTU.ORDEZK.,5000.0,5000.0,0.0,5000.0,0.0,0.0,0.0
1 0200.226.99.172.00 2025 (113),,,BESTE HAINBAT GASTU,60000.0,60000.0,0.0,39471.2,20528.8,20528.8,11886.4
1 0200.227.05.172.00 2025 (2075),,,LUR ETA ONDASUN NATURALAK ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.227.07.151.00 2025 (39),,,AZTERKETA ETA LAN TEKNIKOAK,375000.0,375000.0,0.0,375000.0,0.0,0.0,0.0
